 time            v(in)           v(out)          i(vdd)         
 7.03000000e-10  3.30000000e+00  1.40839683e-02 -1.06114488e-06 
 7.07000000e-10  3.30000000e+00  4.00604996e-03  9.91666490e-07 
 7.15000000e-10  3.30000000e+00 -3.80814512e-04 -9.58687979e-07 
 7.25000000e-10  3.30000000e+00  1.49532712e-04  9.33094455e-07 
 7.35000000e-10  3.30000000e+00 -1.01492314e-04 -9.08204390e-07 
 7.45000000e-10  3.30000000e+00  8.70011121e-05  8.83972956e-07 
 7.55000000e-10  3.30000000e+00 -7.89701458e-05 -8.60408254e-07 
 7.65000000e-10  3.30000000e+00  7.34353260e-05  8.37466388e-07 
 7.75000000e-10  3.30000000e+00 -6.80470777e-05 -8.15156480e-07 
 7.85000000e-10  3.30000000e+00  6.37858124e-05  7.93435523e-07 
 7.95000000e-10  3.30000000e+00 -5.94592092e-05 -7.72313601e-07 
 8.05000000e-10  3.30000000e+00  5.60042900e-05  7.51748549e-07 
 8.15000000e-10  3.30000000e+00 -5.24885084e-05 -7.31751362e-07 
 8.25000000e-10  3.30000000e+00  4.96702612e-05  7.12280675e-07 
 8.35000000e-10  3.30000000e+00 -4.68014323e-05 -6.93348341e-07 
 8.45000000e-10  3.30000000e+00  4.44920129e-05  6.74913754e-07 
 8.55000000e-10  3.30000000e+00 -4.21407526e-05 -6.56989580e-07 
 8.65000000e-10  3.30000000e+00  4.02386005e-05  6.39535933e-07 
 8.75000000e-10  3.30000000e+00 -3.83017741e-05 -6.22566245e-07 
 8.85000000e-10  3.30000000e+00  3.67259824e-05  6.06041315e-07 
 8.95000000e-10  3.30000000e+00 -3.51213369e-05 -5.89975297e-07 
 9.05000000e-10  3.30000000e+00  3.38074210e-05  5.74329641e-07 
 9.15000000e-10  3.30000000e+00 -3.24693465e-05 -5.59119185e-07 
 9.25000000e-10  3.30000000e+00  3.13658909e-05  5.44305994e-07 
 9.35000000e-10  3.30000000e+00 -3.02420428e-05 -5.29905552e-07 
 9.45000000e-10  3.30000000e+00  2.93080348e-05  5.15880509e-07 
 9.55000000e-10  3.30000000e+00 -2.83566403e-05 -5.02246958e-07 
 9.65000000e-10  3.30000000e+00  2.75593507e-05  4.88968105e-07 
